,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
89,47,6,1726.0,True,1019.0,True,3381.0,-1,1,0,0.0,0,3381.0,3647.0,0.0,266.0,44.0,0.0,1.0,0.0
90,26,8,1.0,True,1.0,True,3407.0,-1,0,0,0.0,0,3648.0,3648.0,241.0,241.0,0.0,0.0,0.0,0.0
92,65,25,1.0,True,1.0,True,3516.0,-1,0,0,0.0,0,3649.0,3649.0,133.0,133.0,0.0,0.0,0.0,0.0
91,44,6,1.0,True,1.0,True,3451.0,-1,0,0,0.0,0,3650.0,3650.0,199.0,199.0,0.0,0.0,0.0,0.0
93,78,6,1.0,True,1.0,True,3594.0,-1,0,0,0.0,0,3651.0,3651.0,57.0,57.0,0.0,0.0,0.0,0.0
94,9,11,1.0,True,9.0,True,3603.0,-1,0,0,0.0,0,3652.0,3652.0,49.0,49.0,0.0,0.0,0.0,0.0
97,16,13,7.0,True,33.0,True,3647.0,-1,0,0,0.0,0,3653.0,3660.0,6.0,13.0,0.0,0.0,1.0,1.0
95,9,12,1.0,True,163.0,False,3612.0,-1,0,0,0.0,1,3661.0,3661.0,49.0,49.0,0.0,0.0,0.0,0.0
96,19,20,1.0,True,107.0,True,3631.0,-1,0,0,0.0,2,3661.0,3661.0,30.0,30.0,0.0,0.0,0.0,0.0
98,33,13,70.0,True,39.0,True,3680.0,-1,0,0,0.0,0,3680.0,3750.0,0.0,70.0,20.0,0.0,1.0,1.0
99,70,22,1.0,True,1.0,True,3750.0,-1,0,0,0.0,1,3751.0,3752.0,1.0,2.0,0.0,0.0,1.0,1.0
100,29,29,17.0,True,168.0,True,3779.0,-1,0,0,0.0,0,3779.0,3796.0,0.0,17.0,27.0,0.0,1.0,1.0
101,8,3,1.0,True,1.0,True,3787.0,-1,0,0,0.0,2,3797.0,3797.0,10.0,10.0,0.0,0.0,0.0,0.0
102,5,12,1.0,True,1.0,True,3792.0,-1,0,0,0.0,1,3797.0,3798.0,5.0,6.0,0.0,0.0,1.0,1.0
103,40,16,1.0,True,1.0,True,3832.0,-1,0,0,0.0,0,3832.0,3833.0,0.0,1.0,34.0,0.0,1.0,1.0
104,4,3,35.0,True,73.0,True,3836.0,-1,0,0,0.0,0,3836.0,3871.0,0.0,35.0,3.0,0.0,1.0,1.0
105,33,20,24.0,True,4.0,True,3869.0,-1,0,0,0.0,1,3872.0,3896.0,3.0,27.0,0.0,0.0,1.0,1.0
106,14,14,1.0,True,8.0,True,3883.0,-1,0,0,0.0,1,3897.0,3897.0,14.0,14.0,0.0,0.0,0.0,0.0
107,66,6,70.0,True,326.0,True,3949.0,-1,0,0,0.0,0,3949.0,4019.0,0.0,70.0,52.0,0.0,1.0,1.0
108,26,9,3598.0,False,1010.0,False,3975.0,-1,0,0,0.0,1,4020.0,4020.0,45.0,45.0,0.0,0.0,0.0,0.0
109,45,5,1.0,True,1.0,True,4020.0,-1,0,0,0.0,0,4020.0,4021.0,0.0,1.0,1.0,0.0,1.0,1.0
110,6,14,31.0,True,148.0,True,4026.0,-1,0,0,0.0,0,4026.0,4057.0,0.0,31.0,5.0,0.0,1.0,1.0
111,3,6,3598.0,False,3444.0,False,4029.0,-1,0,0,0.0,1,4058.0,4058.0,29.0,29.0,0.0,0.0,0.0,0.0
112,49,25,1.0,True,192.0,False,4078.0,-1,0,0,0.0,0,4078.0,4078.0,0.0,1.0,21.0,0.0,0.0,0.0
113,42,25,1.0,True,166.0,False,4120.0,-1,0,0,0.0,0,4120.0,4120.0,0.0,1.0,42.0,0.0,0.0,0.0
114,36,22,1.0,True,722.0,False,4156.0,-1,0,0,0.0,0,4156.0,4156.0,0.0,1.0,36.0,0.0,0.0,0.0
115,6,10,1.0,True,213.0,False,4162.0,-1,0,0,0.0,0,4162.0,4162.0,0.0,1.0,6.0,0.0,0.0,0.0
116,52,11,1.0,True,1.0,True,4214.0,-1,0,0,0.0,0,4214.0,4215.0,0.0,1.0,52.0,0.0,1.0,1.0
117,25,14,3598.0,False,600.0,True,4239.0,-1,1,0,0.0,0,4239.0,4555.0,0.0,316.0,24.0,0.0,1.0,0.0
118,79,22,1.0,True,1.0,True,4318.0,-1,0,0,0.0,0,4556.0,4556.0,238.0,238.0,0.0,0.0,0.0,0.0
121,25,20,1.0,True,1.0,True,4448.0,-1,0,0,0.0,0,4557.0,4557.0,109.0,109.0,0.0,0.0,0.0,0.0
119,62,15,1.0,True,5.0,True,4380.0,-1,0,0,0.0,0,4558.0,4558.0,178.0,178.0,0.0,0.0,0.0,0.0
120,43,24,1.0,True,6.0,True,4423.0,-1,0,0,0.0,0,4559.0,4559.0,136.0,136.0,0.0,0.0,0.0,0.0
123,12,5,3.0,True,7.0,True,4473.0,-1,0,0,0.0,0,4560.0,4560.0,87.0,87.0,0.0,0.0,0.0,0.0
122,13,6,7.0,True,10.0,True,4461.0,-1,0,0,0.0,0,4561.0,4561.0,100.0,100.0,0.0,0.0,0.0,0.0
124,56,19,1493.0,True,78.0,True,4529.0,-1,0,0,0.0,0,4562.0,4562.0,33.0,33.0,0.0,0.0,0.0,0.0
125,26,2,3598.0,False,2038.0,False,4555.0,-1,0,0,0.0,0,4563.0,4563.0,8.0,8.0,0.0,0.0,0.0,0.0
126,63,23,4.0,True,18.0,True,4618.0,-1,0,0,0.0,0,4618.0,4622.0,0.0,4.0,55.0,0.0,1.0,1.0
127,71,14,3598.0,False,1504.0,False,4689.0,-1,0,0,0.0,0,4689.0,4689.0,0.0,1.0,67.0,0.0,0.0,0.0
128,60,9,1.0,True,4.0,True,4749.0,-1,0,0,0.0,0,4749.0,4750.0,0.0,1.0,60.0,0.0,1.0,1.0
129,78,18,1.0,True,4.0,True,4827.0,-1,0,0,0.0,0,4827.0,4828.0,0.0,1.0,77.0,0.0,1.0,1.0
130,38,7,1.0,True,2.0,True,4865.0,-1,0,0,0.0,0,4865.0,4866.0,0.0,1.0,37.0,0.0,1.0,1.0
131,24,16,1.0,True,2.0,True,4889.0,-1,0,0,0.0,0,4889.0,4890.0,0.0,1.0,23.0,0.0,1.0,1.0
132,13,18,52.0,True,464.0,True,4902.0,-1,0,0,0.0,0,4902.0,4954.0,0.0,52.0,12.0,0.0,1.0,1.0
133,54,13,235.0,True,166.0,True,4956.0,-1,0,0,0.0,0,4956.0,5191.0,0.0,235.0,2.0,0.0,1.0,1.0
134,2,27,6.0,True,7.0,True,4958.0,-1,0,0,0.0,2,5192.0,5192.0,234.0,234.0,0.0,0.0,0.0,0.0
135,26,19,2.0,True,2.0,True,4984.0,-1,0,0,0.0,5,5192.0,5192.0,208.0,208.0,0.0,0.0,0.0,0.0
136,65,18,310.0,True,786.0,True,5049.0,-1,0,0,0.0,1,5192.0,5192.0,143.0,143.0,0.0,0.0,0.0,0.0
137,60,29,1.0,True,6.0,True,5109.0,-1,0,0,0.0,4,5192.0,5192.0,83.0,83.0,0.0,0.0,0.0,0.0
138,27,21,2.0,True,6.0,True,5136.0,-1,0,0,0.0,3,5192.0,5192.0,56.0,56.0,0.0,0.0,0.0,0.0
139,57,17,2.0,True,6.0,True,5193.0,-1,0,0,0.0,0,5193.0,5195.0,0.0,2.0,2.0,0.0,1.0,1.0
140,13,23,1017.0,True,297.0,True,5206.0,-1,1,0,0.0,0,5206.0,5727.0,0.0,521.0,11.0,0.0,1.0,0.0
142,61,3,3.0,True,2.0,True,5291.0,-1,0,0,0.0,0,5728.0,5728.0,437.0,437.0,0.0,0.0,0.0,0.0
146,65,19,45.0,True,5.0,True,5553.0,-1,0,0,0.0,0,5729.0,5729.0,176.0,176.0,0.0,0.0,0.0,0.0
145,49,3,132.0,True,5.0,True,5488.0,-1,0,0,0.0,0,5730.0,5730.0,242.0,242.0,0.0,0.0,0.0,0.0
141,24,22,2577.0,True,8.0,True,5230.0,-1,0,0,0.0,0,5731.0,5731.0,501.0,501.0,0.0,0.0,0.0,0.0
144,70,10,1.0,True,12.0,True,5439.0,-1,0,0,0.0,0,5732.0,5732.0,293.0,293.0,0.0,0.0,0.0,0.0
149,67,11,1.0,True,14.0,True,5727.0,-1,0,0,0.0,0,5733.0,5734.0,6.0,7.0,0.0,0.0,1.0,1.0
143,78,20,99.0,True,29.0,True,5369.0,-1,0,0,0.0,3,5735.0,5735.0,366.0,366.0,0.0,0.0,0.0,0.0
147,75,26,90.0,True,116.0,True,5628.0,-1,0,0,0.0,2,5735.0,5735.0,107.0,107.0,0.0,0.0,0.0,0.0
148,32,7,3598.0,False,2377.0,False,5660.0,-1,0,0,0.0,1,5735.0,5735.0,75.0,75.0,0.0,0.0,0.0,0.0
150,43,21,1469.0,True,107.0,True,5770.0,-1,1,0,0.0,0,5770.0,6078.0,0.0,308.0,36.0,0.0,1.0,0.0
152,20,29,1.0,True,4.0,True,5853.0,-1,0,0,0.0,0,6079.0,6079.0,226.0,226.0,0.0,0.0,0.0,0.0
153,50,25,244.0,True,4.0,True,5903.0,-1,0,0,0.0,0,6080.0,6080.0,177.0,177.0,0.0,0.0,0.0,0.0
154,52,21,10.0,True,4.0,True,5955.0,-1,0,0,0.0,0,6081.0,6081.0,126.0,126.0,0.0,0.0,0.0,0.0
158,13,10,503.0,True,7.0,True,6063.0,-1,0,0,0.0,0,6082.0,6082.0,19.0,19.0,0.0,0.0,0.0,0.0
157,18,21,657.0,True,7.0,True,6050.0,-1,0,0,0.0,0,6083.0,6083.0,33.0,33.0,0.0,0.0,0.0,0.0
156,16,1,2.0,True,7.0,True,6032.0,-1,0,0,0.0,0,6084.0,6084.0,52.0,52.0,0.0,0.0,0.0,0.0
151,63,22,2637.0,True,41.0,True,5833.0,-1,0,0,0.0,0,6085.0,6085.0,252.0,252.0,0.0,0.0,0.0,0.0
159,15,4,3170.0,True,955.0,True,6078.0,-1,0,0,0.0,0,6086.0,6086.0,8.0,8.0,0.0,0.0,0.0,0.0
155,61,29,2799.0,True,2793.0,True,6016.0,-1,0,0,0.0,0,6087.0,6087.0,71.0,71.0,0.0,0.0,0.0,0.0
