,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
58,9,1,1.0,True,1.0,True,935.0,-1,0,0,0.0,12,957.0,957.0,22.0,22.0,0.0,0.0,0.0,0.0
59,6,4,1.0,True,1.0,True,941.0,-1,0,0,0.0,10,957.0,957.0,16.0,16.0,0.0,0.0,0.0,0.0
60,3,1,1.0,True,1.0,True,944.0,-1,0,0,0.0,11,957.0,957.0,13.0,13.0,0.0,0.0,0.0,0.0
61,13,1,1.0,True,1.0,True,957.0,-1,0,0,0.0,0,957.0,958.0,0.0,1.0,1.0,0.0,1.0,1.0
62,6,14,3598.0,False,3598.0,False,963.0,-1,0,0,0.0,0,963.0,963.0,0.0,1.0,5.0,0.0,0.0,0.0
63,28,1,3.0,True,3.0,True,991.0,-1,0,0,0.0,0,991.0,994.0,0.0,3.0,28.0,0.0,1.0,1.0
64,20,22,7.0,True,7.0,True,1011.0,-1,0,0,0.0,0,1011.0,1018.0,0.0,7.0,17.0,0.0,1.0,1.0
65,13,8,42.0,True,42.0,True,1024.0,-1,0,0,0.0,0,1024.0,1066.0,0.0,42.0,6.0,0.0,1.0,1.0
66,15,25,6.0,True,6.0,True,1039.0,-1,0,0,0.0,1,1067.0,1067.0,28.0,28.0,0.0,0.0,0.0,0.0
67,28,12,11.0,True,11.0,True,1067.0,-1,0,0,0.0,0,1067.0,1078.0,0.0,11.0,1.0,0.0,1.0,1.0
68,17,11,1507.0,True,1507.0,True,1084.0,-1,0,0,0.0,0,1084.0,2591.0,0.0,1507.0,6.0,0.0,1.0,1.0
69,28,22,22.0,True,22.0,True,1112.0,-1,0,0,0.0,39,2592.0,2592.0,1480.0,1480.0,0.0,0.0,0.0,0.0
70,7,26,37.0,True,37.0,True,1119.0,-1,0,0,0.0,33,2592.0,2592.0,1473.0,1473.0,0.0,0.0,0.0,0.0
71,25,14,5.0,True,5.0,True,1144.0,-1,0,0,0.0,50,2592.0,2592.0,1448.0,1448.0,0.0,0.0,0.0,0.0
72,1,25,3598.0,False,3598.0,False,1145.0,-1,0,0,0.0,7,2592.0,2592.0,1447.0,1447.0,0.0,0.0,0.0,0.0
73,12,16,1.0,True,1.0,True,1157.0,-1,0,0,0.0,96,2592.0,2592.0,1435.0,1435.0,0.0,0.0,0.0,0.0
74,6,3,3.0,True,3.0,True,1163.0,-1,0,0,0.0,56,2592.0,2592.0,1429.0,1429.0,0.0,0.0,0.0,0.0
75,11,5,14.0,True,14.0,True,1174.0,-1,0,0,0.0,42,2592.0,2592.0,1418.0,1418.0,0.0,0.0,0.0,0.0
