,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
745,22,579,1.0,True,1.0,True,11816.0,1,0,0,0.0,2,11912.0,11913.0,96.0,97.0,0.0,3.0,1.0,1.0
750,16,698,1.0,True,1.0,True,11889.0,1,0,0,0.0,1,11914.0,11915.0,25.0,26.0,0.0,3.0,1.0,1.0
749,15,582,1.0,True,1.0,True,11873.0,1,0,0,0.09,4,11916.0,11917.0,43.0,44.0,0.0,3.0,1.0,1.0
746,3,722,1.0,True,1.0,True,11819.0,1,0,0,0.0,3,11918.0,11919.0,99.0,100.0,0.0,3.0,1.0,1.0
748,9,552,2229.0,True,2229.0,True,11858.0,1,0,0,0.0,2,11920.0,14149.0,62.0,2291.0,0.0,3.0,1.0,1.0
764,6,707,1.0,True,1.0,True,12059.0,1,0,0,0.15,4,12130.0,12131.0,71.0,72.0,0.0,2.0,1.0,1.0
768,15,513,1.0,True,1.0,True,12119.0,1,0,0,0.0,3,12132.0,12133.0,13.0,14.0,0.0,2.0,1.0,1.0
758,4,700,1.0,True,1.0,True,11983.0,1,0,0,0.0,2,12134.0,12135.0,151.0,152.0,0.0,2.0,1.0,1.0
753,4,700,1.0,True,1.0,True,11925.0,1,0,0,0.0,1,12136.0,12137.0,211.0,212.0,0.0,2.0,1.0,1.0
754,6,721,1.0,True,1.0,True,11931.0,1,0,0,0.0,3,12138.0,12139.0,207.0,208.0,0.0,2.0,1.0,1.0
756,14,561,1.0,True,1.0,True,11976.0,1,0,0,0.12,4,12138.0,12139.0,162.0,163.0,0.0,0.0,1.0,1.0
760,16,691,1.0,True,1.0,True,12002.0,1,0,0,0.0,1,12140.0,12141.0,138.0,139.0,0.0,2.0,1.0,1.0
765,27,571,1.0,True,1.0,True,12086.0,1,0,0,0.0,2,12140.0,12141.0,54.0,55.0,0.0,0.0,1.0,1.0
759,3,683,1.0,True,1.0,True,11986.0,1,0,0,0.0,3,12142.0,12143.0,156.0,157.0,0.0,2.0,1.0,1.0
762,26,523,1.0,True,1.0,True,12033.0,1,0,0,0.12,4,12142.0,12143.0,109.0,110.0,0.0,0.0,1.0,1.0
757,3,524,1.0,True,1.0,True,11979.0,1,0,0,0.0,2,12144.0,12145.0,165.0,166.0,0.0,0.0,1.0,1.0
766,6,562,1.0,True,1.0,True,12092.0,1,0,0,0.0,1,12144.0,12145.0,52.0,53.0,0.0,2.0,1.0,1.0
752,31,637,59.0,True,59.0,True,11921.0,1,0,0,0.18,4,12146.0,12205.0,225.0,284.0,0.0,0.0,1.0,1.0
763,20,515,59.0,True,59.0,True,12053.0,1,0,0,0.0,3,12146.0,12205.0,93.0,152.0,0.0,2.0,1.0,1.0
769,30,564,1.0,True,1.0,True,12149.0,1,0,0,0.15,4,12206.0,12207.0,57.0,58.0,0.0,0.0,1.0,1.0
770,16,587,1.0,True,1.0,True,12165.0,1,0,0,0.0,3,12206.0,12207.0,41.0,42.0,0.0,2.0,1.0,1.0
771,6,525,1.0,True,1.0,True,12171.0,1,0,0,0.0,1,12208.0,12209.0,37.0,38.0,0.0,2.0,1.0,1.0
772,20,527,1.0,True,1.0,True,12191.0,1,0,0,0.0,2,12208.0,12209.0,17.0,18.0,0.0,0.0,1.0,1.0
773,17,512,1.0,True,1.0,True,12208.0,1,0,0,0.21,4,12210.0,12211.0,2.0,3.0,0.0,0.0,1.0,1.0
755,31,524,129.0,True,129.0,True,11962.0,1,0,0,0.0,3,12210.0,12339.0,248.0,377.0,0.0,2.0,1.0,1.0
767,12,527,208.0,True,208.0,True,12104.0,1,0,0,0.0,2,12212.0,12420.0,108.0,316.0,0.0,0.0,1.0,1.0
780,12,712,1.0,True,1.0,True,12331.0,1,0,0,0.18,4,12340.0,12341.0,9.0,10.0,0.0,2.0,1.0,1.0
778,15,698,1.0,True,1.0,True,12295.0,1,0,0,0.0,3,12342.0,12343.0,47.0,48.0,0.0,2.0,1.0,1.0
774,23,663,1.0,True,1.0,True,12231.0,1,0,0,0.0,2,12344.0,12345.0,113.0,114.0,0.0,2.0,1.0,1.0
777,19,600,1.0,True,1.0,True,12280.0,1,0,0,0.0,1,12346.0,12347.0,66.0,67.0,0.0,2.0,1.0,1.0
782,5,605,1.0,True,1.0,True,12340.0,1,0,0,0.2,4,12348.0,12349.0,8.0,9.0,0.0,2.0,1.0,1.0
775,20,681,1.0,True,1.0,True,12251.0,1,0,0,0.0,3,12350.0,12351.0,99.0,100.0,0.0,2.0,1.0,1.0
781,4,575,882.0,True,882.0,True,12335.0,1,0,0,0.0,2,12352.0,13234.0,17.0,899.0,0.0,2.0,1.0,1.0
737,22,720,3598.0,False,3598.0,False,11673.0,0,0,2,0.0,2,12421.0,12421.0,748.0,748.0,0.0,0.0,0.0,0.0
739,4,679,3598.0,False,3598.0,False,11705.0,0,0,2,0.0,4,12421.0,12421.0,716.0,716.0,0.0,0.0,0.0,0.0
784,21,725,239.0,True,239.0,True,12374.0,1,0,0,0.16,4,12421.0,12660.0,47.0,286.0,0.0,0.0,1.0,1.0
761,5,627,3598.0,False,3598.0,False,12007.0,-1,0,0,0.0,2,12661.0,12661.0,654.0,654.0,0.0,0.0,0.0,0.0
787,21,740,1.0,True,1.0,True,12430.0,1,0,0,0.13,4,12661.0,12662.0,231.0,232.0,0.0,0.0,1.0,1.0
793,15,525,1.0,True,1.0,True,12535.0,1,0,0,0.0,3,12663.0,12664.0,128.0,129.0,0.0,0.0,1.0,1.0
792,4,540,1.0,True,1.0,True,12520.0,1,0,0,0.0,2,12665.0,12666.0,145.0,146.0,0.0,0.0,1.0,1.0
798,13,642,1.0,True,1.0,True,12634.0,1,0,0,0.0,1,12667.0,12668.0,33.0,34.0,0.0,0.0,1.0,1.0
796,26,587,1.0,True,1.0,True,12609.0,1,0,0,0.1,4,12669.0,12670.0,60.0,61.0,0.0,0.0,1.0,1.0
797,12,581,1.0,True,1.0,True,12621.0,1,0,0,0.0,3,12671.0,12672.0,50.0,51.0,0.0,0.0,1.0,1.0
790,30,534,1.0,True,1.0,True,12491.0,1,0,0,0.0,2,12673.0,12674.0,182.0,183.0,0.0,0.0,1.0,1.0
794,20,712,1.0,True,1.0,True,12555.0,1,0,0,0.0,1,12675.0,12676.0,120.0,121.0,0.0,0.0,1.0,1.0
789,17,669,1.0,True,1.0,True,12461.0,1,0,0,0.14,4,12677.0,12678.0,216.0,217.0,0.0,0.0,1.0,1.0
